"gene","logFC","logCPM","F","PValue","FDR","median_logFC_by_sample","prop_same_sign","expr_prop_in_A","stability_score"
"HADH",0.994603151122329,5.99087505938992,32.2995352520682,1.87488364126346e-05,0.00464083040255899,0.915858352731744,1,1,0.915858352731744
"SMAD9",0.877974274211062,5.32974381442447,14.2611039367229,0.00131790095823544,0.0409565299994356,0.910769259663393,1,1,0.910769259663393
"ACTB",0.832968934028916,12.6587646922824,18.6379126154015,0.000385541309102152,0.0213178359063501,0.901714206386151,1,1,0.901714206386151
"TPM1",0.848431641429575,10.7883258386445,37.9105281178544,6.9805250931148e-06,0.00273578412607657,0.879757628493928,1,1,0.879757628493928
"SRRM4",1.96975004395603,1.1455064143587,16.3080820119148,0.000369489523306499,0.0208525107373256,1.14791814825674,0.75,0.75,0.860938611192552
"LINC02762",1.13909118975938,4.84086658951909,21.5213537279788,0.000215856871035944,0.0157600369153356,0.860343746248829,1,0.875,0.860343746248829
"PDLIM7",0.824237224336357,8.64399830194854,21.9875963784028,0.000167165069266898,0.0137701943591211,0.860330812521084,1,1,0.860330812521084
"PRUNE2",0.796078994636046,6.95663351970586,14.7981766569655,0.00111833168734572,0.0377661475204518,0.858990346654808,1,1,0.858990346654808
"CALD1",0.880616324640415,11.8149880690959,21.0715113773786,0.000208492399698505,0.0154564730311857,0.855332637268129,1,1,0.855332637268129
"CAP2",0.996278806597895,5.6126909251788,22.0951300911989,0.000159105844014916,0.013362049721467,0.841203212495112,1,1,0.841203212495112
"NDUFA4",0.803843926565007,10.2042339241241,30.9005654053361,2.47496549186123e-05,0.00554274414677302,0.825521867614534,1,1,0.825521867614534
"PRPSAP1",0.85675183856915,5.54760069662573,15.7134661614095,0.000824868818279023,0.032875915698019,0.927491541335407,0.875,1,0.811555098668482
"TGFB1I1",0.797061819413257,8.24248200674189,27.7484312805165,4.65873683561046e-05,0.00736675605607843,0.809591285250158,1,1,0.809591285250158
